"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","European Union - 27 countries (2007-2013)","1966","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1967","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1967","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1967","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1968","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1968","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1968","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1969","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1969","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1969","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1970","Total","Number","435.469.610"
"Total","European Union - 27 countries (2007-2013)","1970","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1970","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1971","Total","Number","437.308.029"
"Total","European Union - 27 countries (2007-2013)","1971","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1971","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1972","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1972","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1972","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1973","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1973","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1973","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1974","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1974","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1974","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1975","Total","Number","447.565.620"
"Total","European Union - 27 countries (2007-2013)","1975","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1975","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1976","Total","Number","449.734.595"
"Total","European Union - 27 countries (2007-2013)","1976","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1976","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1977","Total","Number","451.622.165"
"Total","European Union - 27 countries (2007-2013)","1977","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1977","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1978","Total","Number","453.516.363"
"Total","European Union - 27 countries (2007-2013)","1978","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1978","Females","Number",":"
