"";"Drzava";"Leto";"BDP.E"
"360";"Malta";2000;4394,9
"361";"Malta";2001;4541,1
"362";"Malta";2002;4737,2
"363";"Malta";2003;4794,7
"364";"Malta";2004;4867,2
"365";"Malta";2005;5142,1
"366";"Malta";2006;5386,1
"367";"Malta";2007;5757,5
"368";"Malta";2008;6128,7
"369";"Malta";2009;6138,6
"370";"Malta";2010;6599,5
"371";"Malta";2011;6832
"372";"Malta";2012;7168
"373";"Malta";2013;7645,3
"374";"Malta";2014;8508,3
"375";"Malta";2015;9657,9
"376";"Malta";2016;10346,5
"377";"Malta";2017;11302,8
"378";"Malta";2018;12323,8
"379";"Netherlands";1998;391460,9
"380";"Netherlands";1999;419459
"381";"Netherlands";2000;452007
"382";"Netherlands";2001;481881
"383";"Netherlands";2002;501137
"384";"Netherlands";2003;512810
"385";"Netherlands";2004;529286
"386";"Netherlands";2005;550883
"387";"Netherlands";2006;584546
"388";"Netherlands";2007;619170
"389";"Netherlands";2008;647198
"390";"Netherlands";2009;624842
"391";"Netherlands";2010;639187
"392";"Netherlands";2011;650359
"393";"Netherlands";2012;652966
"394";"Netherlands";2013;660463
"395";"Netherlands";2014;671560
"396";"Netherlands";2015;690008
"397";"Netherlands";2016;708337
"398";"Netherlands";2017;738146
"399";"Netherlands";2018;774039
"400";"Austria";1998;195011,9
"401";"Austria";1999;203850,6
"402";"Austria";2000;213606,5
"403";"Austria";2001;220525,1
"404";"Austria";2002;226735,2
"405";"Austria";2003;231862,5
"406";"Austria";2004;242348,3
"407";"Austria";2005;254075
"408";"Austria";2006;267824,5
"409";"Austria";2007;283978
"410";"Austria";2008;293761,9
"411";"Austria";2009;288044
"412";"Austria";2010;295896,6
"413";"Austria";2011;310128,7
"414";"Austria";2012;318653
"415";"Austria";2013;323910,2
"416";"Austria";2014;333146,1
"417";"Austria";2015;344269,2
"418";"Austria";2016;357299,7
"419";"Austria";2017;370295,8
"420";"Austria";2018;385711,9
"421";"Poland";1998;154747,6
"422";"Poland";1999;159267,4
"423";"Poland";2000;186375,9
"424";"Poland";2001;212405,7
"425";"Poland";2002;210146
"426";"Poland";2003;192274,3
"427";"Poland";2004;206119,6
"428";"Poland";2005;246201,3
"429";"Poland";2006;274602,5
"430";"Poland";2007;313874
"431";"Poland";2008;366182,3
"432";"Poland";2009;317082,9
"433";"Poland";2010;361803,9
"434";"Poland";2011;380241,7
"435";"Poland";2012;389376,8
"436";"Poland";2013;394733,8
"437";"Poland";2014;411163,2
"438";"Poland";2015;430258,1
"439";"Poland";2016;426555,7
"440";"Poland";2017;467312,9
"441";"Poland";2018;496360,9
"442";"Portugal";1998;110683,7
"443";"Portugal";1999;119603,3
"444";"Portugal";2000;128414,4
"445";"Portugal";2001;135775
"446";"Portugal";2002;142554,3
"447";"Portugal";2003;146067,9
"448";"Portugal";2004;152248,4
"449";"Portugal";2005;158552,7
"450";"Portugal";2006;166260,5
"451";"Portugal";2007;175483,4
"452";"Portugal";2008;179102,8
"453";"Portugal";2009;175416,4
"454";"Portugal";2010;179610,8
"455";"Portugal";2011;176096,2
"456";"Portugal";2012;168295,6
"457";"Portugal";2013;170492,3
"458";"Portugal";2014;173053,7
"459";"Portugal";2015;179713,2
"460";"Portugal";2016;186489,8
"461";"Portugal";2017;195947,2
"462";"Portugal";2018;203896,2
"463";"Romania";1998;37063,3
"464";"Romania";1999;33726,8
"465";"Romania";2000;40594,9
"466";"Romania";2001;45143,6
"467";"Romania";2002;48695,7
"468";"Romania";2003;51108,5
"469";"Romania";2004;60402
"470";"Romania";2005;79223,9
"471";"Romania";2006;97215,6
"472";"Romania";2007;127632
"473";"Romania";2008;146590,6
"474";"Romania";2009;125213,9
"475";"Romania";2010;125408,8
"476";"Romania";2011;131925,4
"477";"Romania";2012;133147,1
"478";"Romania";2013;143801,6
"479";"Romania";2014;150458
"480";"Romania";2015;160297,8
"481";"Romania";2016;170393,6
"482";"Romania";2017;187772,7
"483";"Romania";2018;202883,6
"484";"Slovenia";1998;19784,6
"485";"Slovenia";1999;21227,5
"486";"Slovenia";2000;21866,8
"487";"Slovenia";2001;23249,1
"488";"Slovenia";2002;24972,4
"489";"Slovenia";2003;26247,5
"490";"Slovenia";2004;27692
"491";"Slovenia";2005;29122,3
"492";"Slovenia";2006;31476,1
"493";"Slovenia";2007;35073,5
"494";"Slovenia";2008;37925,7
"495";"Slovenia";2009;36254,9
"496";"Slovenia";2010;36363,9
"497";"Slovenia";2011;37058,6
"498";"Slovenia";2012;36253,3
"499";"Slovenia";2013;36454,3
"500";"Slovenia";2014;37634,3
"501";"Slovenia";2015;38852,6
"502";"Slovenia";2016;40366,6
"503";"Slovenia";2017;42987,1
"504";"Slovenia";2018;45754,8
"505";"Slovakia";1998;20315,3
"506";"Slovakia";1999;19491,5
"507";"Slovakia";2000;22346,8
"508";"Slovakia";2001;23871,6
"509";"Slovakia";2002;26305,6
"510";"Slovakia";2003;30064,5
